Habitat Description	Good	Fairly Good	Moderate	Fairly Poor	Poor	Condition Assessment N/A	N/A - Other
Cropland - Arable field margins cultivated annually	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Arable field margins game bird mix	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Arable field margins pollen and nectar	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Arable field margins tussocky	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Cereal crops	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Winter stubble	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Horticulture	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Intensive orchards	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Non-cereal crops	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Cropland - Temporary grass and clover leys	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Grassland - Traditional orchards	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Bracken	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Grassland - Floodplain wetland mosaic and CFGM	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Lowland calcareous grassland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Lowland dry acid grassland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Lowland meadows	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Modified grassland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Other lowland acid grassland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Other neutral grassland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Tall herb communities (H6430)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Upland acid grassland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Upland calcareous grassland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Grassland - Upland hay meadows	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Blackthorn scrub	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Bramble scrub	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Heathland and shrub - Gorse scrub	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Hawthorn scrub	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Hazel scrub	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Lowland heathland	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Mixed scrub	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Mountain heaths and willow scrub	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Rhododendron scrub	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
Heathland and shrub - Dunes with sea buckthorn (H2160)	3	2.5	2	1.5	1	Not Possible ▲	Not Possible ▲
Heathland and shrub - Other sea buckthorn scrub	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	Not Possible ▲	1	Not Possible ▲
